intelMatch;7,825292;;;
attrMatch;7,520319;;;
sincMatch;7,798246;;;
funMatch;7,552786;;;
ambMatch;7,183409;;;
sharMatch;6,654874;;;
intelNoMatch;7,181047;;;
attrNoMatch;6,245417;;;
sincNoMatch;7,13931;;;
funNoMatch;6,309268;;;
ambNoMatch;6,483684;;;
sharNoMatch;5,30926;;;
intel11;19,66988;;;
intel1s;16,6941;;;
intel12;17,04939;;;
intel13;18,86698;;;
attr11;28,07397;;;
attr1s;26,07268;;;
attr12;30,18293;;;
atr13;30,63091;;;
sinc11;15,46457;;;
sinc1s;13,96988;;;
sinc12;14,39455;;;
sinc13;14,49821;;;
fun11;18,17088;;;
fun1s;15,9441;;;
fun12;18,64699;;;
fun13;17,2939;;;
amb11;8,386912;;;
amb1s;9,456519;;;
amb12;8,201005;;;
amb13;8,593929;;;
shar11;10,34821;;;
shar1s;10,70655;;;
shar12;11,3755;;;
shar13;10,44192;;;
cor1;dec;;;
intel;0,2105133;;;
attr;0,5165611;;;
sinc;0,1873159;;;
fun;0,4030489;;;
amb;0,2144064;;;
shar;0,3883331;;;
cor2;like;;;
intel;0,4914348;;;
attr;0,670274;;;
sinc;0,4842429;;;
fun;0,6645081;;;
amb;0,4571808;;;
shar;0,6415595;;;
cor3;match;;;
intel;0,1719113;;;
attr;0,2643389;;;
sinc;0,1597733;;;
fun;0,2563597;;;
amb;0,1557894;;;
shar;0,2469223;;;
