"","x"
"320","Tinggi"
"321","Tinggi"
"322","Tinggi"
"323","Tinggi"
"324","Tinggi"
"325","Tinggi"
"326","Tinggi"
"327","Tinggi"
"328","Tinggi"
"329","Tinggi"
"330","Tinggi"
"331","Tinggi"
"332","Tinggi"
"333","Tinggi"
"334","Tinggi"
"335","Tinggi"
"336","Tinggi"
"337","Tinggi"
"338","Tinggi"
"339","Tinggi"
"340","Tinggi"
"341","Tinggi"
"342","Tinggi"
"343","Tinggi"
"344","Tinggi"
"345","Tinggi"
"346","Tinggi"
"347","Tinggi"
"348","Tinggi"
"349","Tinggi"
"350","Tinggi"
"351","Tinggi"
"352","Tinggi"
"353","Tinggi"
"354","Tinggi"
"355","Tinggi"
"356","Tinggi"
"357","Tinggi"
"358","Tinggi"
"359","Tinggi"
"360","Tinggi"
"361","Tinggi"
"362","Tinggi"
"363","Tinggi"
"364","Tinggi"
"365","Tinggi"
"366","Tinggi"
"367","Tinggi"
"368","Tinggi"
"369","Tinggi"
"370","Tinggi"
"371","Tinggi"
"372","Tinggi"
"373","Tinggi"
"374","Tinggi"
"375","Tinggi"
"376","Tinggi"
"377","Tinggi"
"378","Tinggi"
"379","Tinggi"
"380","Tinggi"
"381","Tinggi"
"382","Tinggi"
"383","Tinggi"
"384","Tinggi"
"385","Tinggi"
"386","Tinggi"
"387","Tinggi"
"388","Tinggi"
"389","Tinggi"
"390","Tinggi"
"391","Tinggi"
"392","Tinggi"
"393","Tinggi"
"394","Tinggi"
"395","Tinggi"
"396","Tinggi"
"397","Tinggi"
"398","Tinggi"
"399","Tinggi"
"400","Tinggi"
"401","Tinggi"
"402","Tinggi"
"403","Tinggi"
"404","Tinggi"
"405","Tinggi"
"406","Tinggi"
"407","Tinggi"
"408","Tinggi"
"409","Tinggi"
"410","Tinggi"
"411","Tinggi"
"412","Tinggi"
"413","Tinggi"
"414","Tinggi"
"415","Tinggi"
"416","Tinggi"
"417","Tinggi"
"418","Tinggi"
"419","Tinggi"
"420","Tinggi"
"421","Tinggi"
"422","Tinggi"
"423","Tinggi"
"424","Tinggi"
"425","Tinggi"
"426","Tinggi"
"427","Tinggi"
"428","Tinggi"
"429","Tinggi"
"430","Tinggi"
"431","Tinggi"
"432","Tinggi"
"433","Tinggi"
"434","Tinggi"
"435","Tinggi"
"436","Tinggi"
"437","Tinggi"
"438","Tinggi"
"439","Tinggi"
"440","Tinggi"
"441","Tinggi"
"442","Tinggi"
"443","Tinggi"
"444","Tinggi"
"445","Tinggi"
"446","Tinggi"
"447","Tinggi"
"448","Tinggi"
"449","Tinggi"
"450","Tinggi"
"451","Tinggi"
"452","Tinggi"
"453","Tinggi"
"454","Tinggi"
"455","Tinggi"
"456","Tinggi"
"457","Tinggi"
"458","Tinggi"
"459","Tinggi"
"460","Tinggi"
"461","Tinggi"
"462","Tinggi"
"463","Tinggi"
"464","Tinggi"
"465","Tinggi"
"466","Tinggi"
"467","Tinggi"
"468","Tinggi"
"469","Tinggi"
"470","Tinggi"
"471","Tinggi"
"472","Tinggi"
"473","Tinggi"
"474","Tinggi"
"475","Tinggi"
"476","Tinggi"
"477","Tinggi"
"478","Tinggi"
"479","Tinggi"
"480","Tinggi"
"481","Tinggi"
"482","Tinggi"
"483","Tinggi"
"484","Tinggi"
"485","Tinggi"
"486","Tinggi"
"487","Tinggi"
"488","Tinggi"
"489","Tinggi"
"490","Tinggi"
"491","Tinggi"
"492","Tinggi"
"493","Tinggi"
"494","Tinggi"
"495","Tinggi"
"496","Tinggi"
"497","Tinggi"
"498","Tinggi"
"499","Tinggi"
"500","Tinggi"
"501","Tinggi"
"502","Tinggi"
"503","Tinggi"
"504","Tinggi"
"505","Tinggi"
"506","Tinggi"
"507","Tinggi"
"508","Tinggi"
"509","Tinggi"
"510","Tinggi"
"511","Tinggi"
"512","Tinggi"
"513","Tinggi"
"514","Tinggi"
"515","Tinggi"
"516","Tinggi"
"517","Tinggi"
"518","Tinggi"
"519","Tinggi"
"520","Tinggi"
"521","Tinggi"
"522","Tinggi"
"523","Tinggi"
"524","Tinggi"
"525","Tinggi"
"526","Tinggi"
"527","Tinggi"
"528","Tinggi"
"529","Tinggi"
"530","Tinggi"
"531","Tinggi"
"532","Tinggi"
"533","Tinggi"
"534","Tinggi"
"535","Tinggi"
"536","Tinggi"
"537","Tinggi"
"538","Tinggi"
"539","Tinggi"
"540","Tinggi"
"541","Tinggi"
"542","Tinggi"
"543","Tinggi"
"544","Tinggi"
"545","Tinggi"
"546","Tinggi"
"547","Tinggi"
"548","Tinggi"
"549","Tinggi"
"550","Tinggi"
"551","Tinggi"
"552","Tinggi"
"553","Tinggi"
"554","Tinggi"
"555","Tinggi"
"556","Tinggi"
"557","Tinggi"
"558","Tinggi"
"559","Tinggi"
"560","Tinggi"
"561","Tinggi"
"562","Tinggi"
"563","Tinggi"
"564","Tinggi"
"565","Tinggi"
"566","Tinggi"
"567","Tinggi"
"568","Tinggi"
"569","Tinggi"
"570","Tinggi"
"571","Tinggi"
"572","Tinggi"
"573","Tinggi"
"574","Tinggi"
"575","Tinggi"
"576","Tinggi"
"577","Tinggi"
"578","Tinggi"
"579","Tinggi"
"580","Tinggi"
"581","Tinggi"
"582","Tinggi"
"583","Tinggi"
"584","Tinggi"
"585","Tinggi"
"586","Tinggi"
"587","Tinggi"
"588","Tinggi"
"589","Tinggi"
"590","Tinggi"
"591","Tinggi"
"592","Tinggi"
"593","Tinggi"
"594","Tinggi"
"595","Tinggi"
"596","Tinggi"
"597","Tinggi"
"598","Tinggi"
"599","Tinggi"
"600","Tinggi"
"601","Tinggi"
"602","Tinggi"
"603","Tinggi"
"604","Tinggi"
"605","Tinggi"
"606","Tinggi"
"607","Tinggi"
"608","Tinggi"
"609","Tinggi"
"610","Tinggi"
"611","Tinggi"
"612","Tinggi"
"613","Tinggi"
"614","Tinggi"
"615","Tinggi"
"616","Tinggi"
"617","Tinggi"
"618","Tinggi"
"619","Tinggi"
"620","Tinggi"
"621","Tinggi"
"622","Tinggi"
"623","Tinggi"
"624","Tinggi"
"625","Tinggi"
"626","Tinggi"
"627","Tinggi"
"628","Tinggi"
"629","Tinggi"
"630","Tinggi"
"631","Tinggi"
"632","Tinggi"
"633","Tinggi"
"634","Tinggi"
"635","Tinggi"
"636","Tinggi"
"637","Tinggi"
"638","Tinggi"
"639","Tinggi"
"640","Tinggi"
"641","Tinggi"
"642","Tinggi"
"643","Tinggi"
"644","Tinggi"
"645","Tinggi"
"646","Tinggi"
"647","Tinggi"
"648","Tinggi"
"649","Tinggi"
"650","Tinggi"
"651","Tinggi"
"652","Tinggi"
"653","Tinggi"
"654","Tinggi"
"655","Tinggi"
"656","Tinggi"
"657","Tinggi"
"658","Tinggi"
"659","Tinggi"
"660","Tinggi"
"661","Tinggi"
